entry_idx,exit_idx,total_pnl_atr,long_pnl,short_pnl,holding_bars,entry_time,exit_time,symbol,gate_prob,date,pnl_after_cost
427,428,0.05696161967788285,0.4139232393557327,-0.299999999999967,1,2025-01-03 10:08:00,2025-01-03 10:09:00,QQQ,0.4174528121948242,2025-01-03,0.01696161967788285
509,510,0.498674038184001,0.893576755418289,0.10377132094971313,1,2025-01-03 11:30:00,2025-01-03 11:31:00,QQQ,0.408713698387146,2025-01-03,0.45867403818400104
513,514,0.013187304425467894,0.3263746088510645,-0.3000000000001287,1,2025-01-03 11:34:00,2025-01-03 11:35:00,QQQ,0.5859213471412659,2025-01-03,-0.026812695574532107
516,517,0.27875106039469566,0.23784035246173468,0.3196617683276566,1,2025-01-03 11:37:00,2025-01-03 11:38:00,QQQ,0.5268816947937012,2025-01-03,0.23875106039469565
520,522,0.2519512471013605,0.8039024942027243,-0.30000000000000326,2,2025-01-03 11:41:00,2025-01-03 11:43:00,QQQ,0.5,2025-01-03,0.2119512471013605
523,524,-0.07246897241818866,-0.30000000000016147,0.15506205516378416,1,2025-01-03 11:44:00,2025-01-03 11:45:00,QQQ,0.408713698387146,2025-01-03,-0.11246897241818865
525,526,-0.03761987224520383,0.22476025550975215,-0.3000000000001598,1,2025-01-03 11:46:00,2025-01-03 11:47:00,QQQ,0.408713698387146,2025-01-03,-0.07761987224520384
536,537,0.13759520743747528,-0.3000000000000571,0.5751904148750077,1,2025-01-03 11:57:00,2025-01-03 11:58:00,QQQ,0.504273533821106,2025-01-03,0.09759520743747527
538,539,0.6055282887184138,-0.2999999999999412,1.5110565774367688,1,2025-01-03 11:59:00,2025-01-03 12:00:00,QQQ,0.5859213471412659,2025-01-03,0.5655282887184138
542,543,0.3084512285924907,0.9169024571851789,-0.30000000000019755,1,2025-01-03 12:03:00,2025-01-03 12:04:00,QQQ,0.6460905075073242,2025-01-03,0.2684512285924907
