offset,tp,sl,n,ev,wr,sharpe,tp_rate,sl_rate,timeout_rate,no_trigger_rate
0.2,0.8,0.5,21762,-0.14892473118279564,0.423904052936311,-3.679955343787625,0.423904052936311,0.576095947063689,0.0,0.0
0.15,2.0,0.22,21762,-0.15844803759263174,0.0958551603712894,-3.86400390358861,0.09475232055877217,0.9041448396287106,0.0011028398125172319,0.0
0.15,1.5,0.22,21762,-0.16513119384753364,0.11915265141071593,-4.70553179323442,0.11906074809300615,0.880847348589284,9.190331770976932e-05,0.0
0.15,1.2,0.22,21762,-0.16608951383144935,0.14359893392151457,-5.294682621704373,0.14359893392151457,0.8564010660784854,0.0,0.0
0.15,1.0,0.22,21762,-0.17098336549949456,0.16312838893484055,-6.021436481633252,0.16312838893484055,0.8368716110651595,0.0,0.0
0.15,0.8,0.22,21762,-0.17679900744416877,0.18941273779983459,-7.022236356919121,0.18941273779983459,0.8105872622001654,0.0,0.0
0.2,0.5,0.5,21762,-0.1793217535153019,0.5206782464846981,-5.698164213674286,0.5206782464846981,0.47932175351530193,0.0,0.0
0.15,0.5,0.22,21762,-0.20090157154673285,0.2348589284073155,-10.449050137666262,0.2348589284073155,0.7651410715926845,0.0,0.0
0.2,2.0,0.3,21762,-0.228023598384504,0.1189228931164415,-4.881490115897512,0.11749839169194008,0.8809392519069938,0.0015623564010660786,0.0
0.15,2.0,0.15,21762,-0.2315618432508367,0.03198235456299973,-9.74799004492569,0.03170664460987042,0.9680176454370003,0.00027570995312930797,0.0
0.15,1.5,0.15,21762,-0.23512196104512692,0.03933461997978127,-11.640470380796865,0.03928866832092639,0.9606653800202187,4.595165885488466e-05,0.0
0.15,1.2,0.15,21762,-0.2352977667493796,0.0479275801856447,-12.952588361054097,0.0479275801856447,0.9520724198143553,0.0,0.0
0.2,1.5,0.3,21762,-0.23589753529775265,0.14676959838250161,-5.880257214580825,0.14663174340593696,0.8532304016174984,0.00013785497656465398,0.0
0.2,1.2,0.3,21762,-0.23779983457402812,0.17480011028398126,-6.626285252328345,0.17480011028398126,0.8251998897160188,0.0,0.0
0.15,1.0,0.15,21762,-0.23933461997978125,0.05275250436540759,-14.779327754037762,0.05275250436540759,0.9472474956345924,0.0,0.0
0.15,0.8,0.15,21762,-0.24172180865729245,0.061345464571271026,-16.83249053433512,0.061345464571271026,0.938654535428729,0.0,0.0
0.2,1.0,0.3,21762,-0.24348864994026284,0.19731642312287473,-7.471053287714449,0.19731642312287473,0.8026835768771252,0.0,0.0
0.2,0.8,0.3,21762,-0.25024813895781634,0.22704714640198512,-8.620727458887572,0.22704714640198512,0.7729528535980149,0.0,0.0
0.15,0.5,0.15,21762,-0.25161290322580643,0.07444168734491315,-23.410453429156664,0.07444168734491315,0.9255583126550868,0.0,0.0
0.2,0.5,0.3,21762,-0.2735502251631284,0.28306221854608954,-12.049406973225304,0.28306221854608954,0.7169377814539105,0.0,0.0
0.2,2.0,0.22,21762,-0.2957185151297172,0.05619887877952394,-9.207571606892113,0.0557393621909751,0.9437551695616212,0.0005054682474037313,0.0
0.2,1.5,0.22,21762,-0.3011549543361848,0.06911129491774654,-10.960176794947389,0.06906534325889165,0.9308887050822535,4.595165885488466e-05,0.0
0.2,1.2,0.22,21762,-0.30222130318904517,0.08294274423306681,-12.250380384866547,0.08294274423306681,0.9170572557669332,0.0,0.0
0.2,1.0,0.22,21762,-0.3064764267990075,0.09305210918114144,-13.727240322173095,0.09305210918114144,0.9069478908188585,0.0,0.0
0.2,0.8,0.22,21762,-0.3118224427901847,0.1060564286370738,-15.761005334457957,0.1060564286370738,0.8939435713629262,0.0,0.0
0.2,2.0,0.15,21762,-0.3170744266208757,0.015347854057531477,-19.070260127409718,0.015301902398676593,0.9846521459424685,4.595165885488466e-05,0.0
0.2,1.5,0.15,21762,-0.31967190515577615,0.018380663541953866,-22.896476278589105,0.018380663541953866,0.9816193364580461,0.0,0.0
0.2,1.2,0.15,21762,-0.32003722084367253,0.022194651226909293,-25.54563047003415,0.022194651226909293,0.9778053487730907,0.0,0.0
0.2,1.0,0.15,21762,-0.32178108629721536,0.024538185828508408,-28.71022403763519,0.024538185828508408,0.9754618141714916,0.0,0.0
0.2,0.8,0.15,21762,-0.3234583218454186,0.027938608583769873,-32.7978790859871,0.027938608583769873,0.9720613914162302,0.0,0.0
0.2,0.5,0.22,21762,-0.32570719602977666,0.13096222773642127,-21.286427213976832,0.13096222773642127,0.8690377722635787,0.0,0.0
0.2,0.5,0.15,21762,-0.3283751493428913,0.033269001010936494,-44.7182185913408,0.033269001010936494,0.9667309989890635,0.0,0.0
