entry_idx,exit_idx,total_pnl_atr,symbol,variant,move_atr
3025,3026,0.21627640753457827,QQQ,orig,
3049,3050,0.21968538199862928,QQQ,orig,
3051,3052,0.4719623701072825,QQQ,orig,
3056,3057,0.43205982065848036,QQQ,orig,
3061,3062,1.1625288535521083,QQQ,orig,
3110,3111,0.3459798450452198,QQQ,orig,
3113,3114,0.3859424757342966,QQQ,orig,
3115,3116,0.20669783429073407,QQQ,orig,
3119,3120,9.463762253735544,QQQ,orig,
3129,3130,0.36597750892379144,QQQ,orig,
3133,3134,-0.006994254089974672,QQQ,orig,
3136,3137,0.10751455878732524,QQQ,orig,
3138,3139,0.07618211964150731,QQQ,orig,
3141,3142,-0.015317386504795694,QQQ,orig,
3143,3144,0.2446460173056801,QQQ,orig,
3145,3146,0.2593270516330707,QQQ,orig,
3149,3150,0.5683395345284552,QQQ,orig,
3155,3156,0.0920981231790047,QQQ,orig,
3157,3158,0.6834916043377689,QQQ,orig,
3159,3160,0.04553091581743296,QQQ,orig,
3164,3165,0.161777978339265,QQQ,orig,
3170,3171,0.09487005788881961,QQQ,orig,
3172,3173,0.01710176456365936,QQQ,orig,
3241,3242,0.49971530710808154,QQQ,orig,
3280,3281,0.07649839966077543,QQQ,orig,
3301,3305,0.03998684515978623,QQQ,orig,
3306,3307,0.07625173012274439,QQQ,orig,
3308,3309,0.2213047141776622,QQQ,orig,
3311,3314,-0.0829275860424063,QQQ,orig,
3316,3317,0.10082632647135234,QQQ,orig,
3353,3354,0.1457316546139742,QQQ,orig,
3357,3358,0.5438791681488737,QQQ,orig,
3359,3360,0.6968897145970746,QQQ,orig,
3373,3374,-0.08106205653810304,QQQ,orig,
3377,3379,0.276213753565996,QQQ,orig,
3385,3386,-0.036370433668482346,QQQ,orig,
3387,3388,0.08138186236633665,QQQ,orig,
3389,3390,0.31049622599190707,QQQ,orig,
3396,3397,0.13826428981397512,QQQ,orig,
3399,3400,0.07883919763206684,QQQ,orig,
3401,3402,0.292122953486041,QQQ,orig,
3409,3410,0.31887718798937603,QQQ,orig,
3411,3412,0.06078409839634066,QQQ,orig,
3425,3426,0.5073326821384918,QQQ,orig,
3427,3428,-0.06248139696432997,QQQ,orig,
3429,3430,0.3114236661381077,QQQ,orig,
3431,3432,0.690955069395178,QQQ,orig,
3456,3457,0.03698764264924634,QQQ,orig,
3468,3469,-0.0616727050972659,QQQ,orig,
3470,3471,0.12542789105537355,QQQ,orig,
3473,3474,0.5684219040684979,QQQ,orig,
3475,3476,0.0906639161207945,QQQ,orig,
3487,3488,0.13652095997780253,QQQ,orig,
3604,3605,0.6216926869348042,QQQ,orig,
3607,3608,0.2494577316058052,QQQ,orig,
3611,3612,-0.012825929055194918,QQQ,orig,
3613,3614,0.4374259554490516,QQQ,orig,
3642,3643,0.12487558008766356,QQQ,orig,
3694,3695,0.2871779098578783,QQQ,orig,
3753,3754,0.2987644244937111,QQQ,orig,
3755,3756,0.8968348480101102,QQQ,orig,
3761,3762,0.2642193972290863,QQQ,orig,
3763,3764,0.08858281388373027,QQQ,orig,
3791,3792,-0.09288628873360612,QQQ,orig,
3793,3794,0.3410841627577379,QQQ,orig,
3795,3796,-0.0642572244164051,QQQ,orig,
3798,3799,0.15785288270379738,QQQ,orig,
3825,3826,0.12657691583488512,QQQ,orig,
3838,3839,0.38043117744618876,QQQ,orig,
3848,3849,0.15301550424340335,QQQ,orig,
3852,3853,0.11762837480150118,QQQ,orig,
3864,3865,0.08677034877478593,QQQ,orig,
3904,3905,0.44888876686078993,QQQ,orig,
3906,3907,0.38486880889537406,QQQ,orig,
3908,3909,0.462979716177669,QQQ,orig,
3910,3911,0.11731598275582703,QQQ,orig,
3912,3913,0.44511232544023566,QQQ,orig,
3918,3919,-0.04270458330166256,QQQ,orig,
3920,3921,-0.0008700674160615207,QQQ,orig,
3923,3924,0.11743577232005303,QQQ,orig,
3946,3947,-0.01850994481277768,QQQ,orig,
3989,3990,0.04706987227637033,QQQ,orig,
3991,3992,0.1862009657466728,QQQ,orig,
3999,4000,0.2496924969249208,QQQ,orig,
4001,4002,0.008600095556631437,QQQ,orig,
4005,4006,0.0018422193322503444,QQQ,orig,
4007,4008,0.10513728275575421,QQQ,orig,
4020,4021,0.5791703398960322,QQQ,orig,
4023,4024,0.5458615200953624,QQQ,orig,
4057,4058,0.07862834202946561,QQQ,orig,
4071,4072,0.140891745330302,QQQ,orig,
4075,4076,0.040343185645572543,QQQ,orig,
4077,4078,0.5756331851677634,QQQ,orig,
4079,4080,-0.014192654600878624,QQQ,orig,
4081,4082,0.0016989680342337221,QQQ,orig,
4084,4085,0.12276763021448864,QQQ,orig,
4086,4087,0.48086761988102233,QQQ,orig,
4095,4096,0.19057022374659474,QQQ,orig,
4103,4104,0.4758559359717515,QQQ,orig,
4108,4109,0.3056756756755782,QQQ,orig,
4120,4121,-0.009302941318102387,QQQ,orig,
4122,4123,0.2688027795205605,QQQ,orig,
4124,4125,-0.08037704759117567,QQQ,orig,
4126,4128,0.12117556604273369,QQQ,orig,
4130,4131,0.04564806054875825,QQQ,orig,
4173,4174,0.21818959333433063,QQQ,orig,
4211,4212,-0.0059359854955012,QQQ,orig,
4294,4295,0.3907518154635162,QQQ,orig,
4350,4351,0.2177839245037337,QQQ,orig,
4393,4394,-0.014975009009335627,QQQ,orig,
4396,4397,0.13536388338099234,QQQ,orig,
4432,4433,-0.006060947233950703,QQQ,orig,
4436,4437,0.4953366101285913,QQQ,orig,
4455,4456,0.2079121209087318,QQQ,orig,
4474,4475,0.22890301745891223,QQQ,orig,
4478,4479,0.2953602995841638,QQQ,orig,
4480,4482,0.8447550472963439,QQQ,orig,
4484,4485,0.061743772241948075,QQQ,orig,
4486,4487,0.15214862264102566,QQQ,orig,
4490,4491,0.3085852320952928,QQQ,orig,
4516,4517,0.05589543937707536,QQQ,orig,
4522,4523,0.30947080524079384,QQQ,orig,
4525,4526,0.42204192021614007,QQQ,orig,
4567,4568,0.101397782289676,QQQ,orig,
4632,4633,-0.002992589777265936,QQQ,orig,
4637,4638,0.2953560371516818,QQQ,orig,
4639,4640,0.02586206896540716,QQQ,orig,
4642,4643,0.28229744728093986,QQQ,orig,
4651,4652,0.598923850742205,QQQ,orig,
4681,4682,1.0173677803330132,QQQ,orig,
4687,4688,0.16193432589889437,QQQ,orig,
4689,4690,0.5471171024850403,QQQ,orig,
4691,4692,0.0638791503401844,QQQ,orig,
4696,4697,-0.0809029780969296,QQQ,orig,
4698,4699,0.16873628277685082,QQQ,orig,
4705,4706,-0.0641353094947153,QQQ,orig,
4710,4711,-0.019037112468896805,QQQ,orig,
4712,4713,0.2888166673272242,QQQ,orig,
4715,4716,0.10251263170260191,QQQ,orig,
4719,4720,0.29920127795532286,QQQ,orig,
4726,4728,-0.0582851490007035,QQQ,orig,
4729,4730,0.4069236508736914,QQQ,orig,
4732,4733,0.15512624738091396,QQQ,orig,
4744,4745,0.22208927749688886,QQQ,orig,
4749,4750,0.05734031109682808,QQQ,orig,
4756,4757,0.3300912676927621,QQQ,orig,
4759,4760,0.5473686833448695,QQQ,orig,
4769,4770,0.32179709528615424,QQQ,orig,
4795,4796,0.4708464132076574,QQQ,orig,
4797,4798,0.08053948766377089,QQQ,orig,
4799,4801,0.02507793874932271,QQQ,orig,
4802,4803,0.09579986168009713,QQQ,orig,
4804,4805,0.07442801929659573,QQQ,orig,
4806,4807,0.22590719809610704,QQQ,orig,
4810,4811,-0.03127734033267633,QQQ,orig,
4815,4816,0.2415150272794201,QQQ,orig,
4818,4819,0.2683997457256405,QQQ,orig,
4821,4822,0.39965429707043665,QQQ,orig,
4824,4825,0.3350454788656896,QQQ,orig,
4827,4828,0.19556493105609823,QQQ,orig,
4836,4837,0.1744482173171979,QQQ,orig,
4935,4936,0.4067922412084549,QQQ,orig,
5001,5002,0.051261532668133325,QQQ,orig,
5003,5004,0.06428010214153548,QQQ,orig,
5006,5008,-0.08440281515201516,QQQ,orig,
5009,5010,0.29924028652013557,QQQ,orig,
5012,5013,0.5567577828395999,QQQ,orig,
5092,5093,0.09740409396759853,QQQ,orig,
5116,5117,0.04593891273788636,QQQ,orig,
5118,5119,0.08593518427026747,QQQ,orig,
5134,5135,0.17868448821665933,QQQ,orig,
5143,5144,0.026420140169810147,QQQ,orig,
5205,5206,1.3534206306788878,QQQ,orig,
5210,5211,0.7447774185526259,QQQ,orig,
5241,5242,-0.023019595974821117,QQQ,orig,
5273,5274,0.2533255437716152,QQQ,orig,
5294,5295,0.30699962866699904,QQQ,orig,
5298,5299,0.3281093099988897,QQQ,orig,
5302,5303,0.24419322955227454,QQQ,orig,
5304,5305,1.1203993735312632,QQQ,orig,
5315,5316,0.329062745584473,QQQ,orig,
5321,5322,0.8271717506625098,QQQ,orig,
5345,5346,0.06675558706164081,QQQ,orig,
5350,5351,0.002600297176641564,QQQ,orig,
5352,5353,-0.030589482922646294,QQQ,orig,
5386,5387,0.25116939525556664,QQQ,orig,
5415,5416,-0.09916538177954771,QQQ,orig,
5447,5448,0.39215222387428444,QQQ,orig,
5451,5452,0.06090133122297223,QQQ,orig,
5457,5458,0.40061010041489,QQQ,orig,
5459,5460,0.9704625151842617,QQQ,orig,
5463,5464,0.3786907100757191,QQQ,orig,
5467,5468,0.20784750625734802,QQQ,orig,
5482,5483,0.24730500951165071,QQQ,orig,
5552,5553,0.0016054826033108371,QQQ,orig,
5587,5588,0.04911462072288553,QQQ,orig,
5592,5593,0.2209461775801447,QQQ,orig,
5597,5598,0.36449336720299846,QQQ,orig,
5604,5605,0.4307290966901337,QQQ,orig,
5606,5607,0.42955300513487776,QQQ,orig,
5666,5667,0.9441848390448553,QQQ,orig,
5715,5716,0.4377720496397458,QQQ,orig,
5781,5782,-0.016735633718074017,QQQ,orig,
5856,5857,0.26507619857420417,QQQ,orig,
5909,5910,0.32415821754903745,QQQ,orig,
5912,5913,0.06564660206437314,QQQ,orig,
5914,5915,0.5870640950710586,QQQ,orig,
5917,5918,-0.0015527950310988692,QQQ,orig,
5919,5920,0.155557340186341,QQQ,orig,
5922,5923,0.19787631978370404,QQQ,orig,
5976,5977,0.9683587724751509,QQQ,orig,
6056,6057,0.26754421796500305,QQQ,orig,
6059,6060,0.15662608354133944,QQQ,orig,
6146,6147,0.12022817025008176,QQQ,orig,
6148,6149,0.08542703150915726,QQQ,orig,
6206,6207,0.06647572631185941,QQQ,orig,
6223,6224,0.3566715879661567,QQQ,orig,
6226,6227,0.28275829263638474,QQQ,orig,
6229,6230,0.5873745713197245,QQQ,orig,
6231,6232,0.5449326556850183,QQQ,orig,
6236,6237,0.14299785002560006,QQQ,orig,
6244,6245,0.5493889115876331,QQQ,orig,
6270,6271,0.5191377015744905,QQQ,orig,
6273,6274,-0.08430638927720768,QQQ,orig,
6275,6276,-0.028145133943680012,QQQ,orig,
6277,6278,0.6600317618928344,QQQ,orig,
6279,6280,0.12984743903171053,QQQ,orig,
6283,6284,-0.08815843337374156,QQQ,orig,
6286,6287,-0.09845270208836787,QQQ,orig,
6288,6289,0.14375347647116746,QQQ,orig,
6290,6291,0.18448559497193717,QQQ,orig,
6292,6293,0.539959723180369,QQQ,orig,
6294,6296,0.3136529517790174,QQQ,orig,
6297,6298,0.2047490555854979,QQQ,orig,
6300,6301,0.45754418992513113,QQQ,orig,
6303,6304,0.23125633232013731,QQQ,orig,
6305,6306,0.6906593061915498,QQQ,orig,
6309,6310,0.002001695284091748,QQQ,orig,
6390,6391,0.17594994495030958,QQQ,orig,
6393,6394,-0.06480426235109224,QQQ,orig,
6395,6396,0.011687952753542008,QQQ,orig,
6398,6399,0.23148038577610605,QQQ,orig,
6400,6401,0.08841988678290125,QQQ,orig,
6404,6405,-0.07480046719890214,QQQ,orig,
6406,6407,0.2302881729036162,QQQ,orig,
6409,6410,0.3962318149299848,QQQ,orig,
6411,6412,0.16566214980459953,QQQ,orig,
6416,6417,0.021830043492842538,QQQ,orig,
6419,6420,0.4283803496485046,QQQ,orig,
6421,6422,-0.04620853080550731,QQQ,orig,
6423,6424,0.404682645361594,QQQ,orig,
6425,6427,0.010529743812490722,QQQ,orig,
6428,6429,0.08324906345523936,QQQ,orig,
6448,6449,0.21361782444576696,QQQ,orig,
6457,6458,0.32097462886639455,QQQ,orig,
6466,6467,0.014564262659323618,QQQ,orig,
6535,6536,0.4047472660386424,QQQ,orig,
6538,6539,0.12700289271782345,QQQ,orig,
6541,6542,-0.033249898525424565,QQQ,orig,
6544,6545,0.0038357400724578494,QQQ,orig,
6546,6547,0.019025959618262145,QQQ,orig,
6548,6549,0.15631530067361138,QQQ,orig,
6551,6552,0.007186946333704841,QQQ,orig,
6553,6555,0.24697672492334924,QQQ,orig,
6556,6557,-0.07715409212709685,QQQ,orig,
6558,6559,0.1341153527951562,QQQ,orig,
6562,6563,0.6571349654007903,QQQ,orig,
6568,6570,0.3763616557736592,QQQ,orig,
6591,6592,0.02587898108696285,QQQ,orig,
6593,6595,0.8320099926801837,QQQ,orig,
6617,6618,0.28822837879939034,QQQ,orig,
6686,6687,0.10550420494823229,QQQ,orig,
6759,6760,0.24358429037283424,QQQ,orig,
6810,6811,0.40593622281667996,QQQ,orig,
6813,6814,-0.09925001884381593,QQQ,orig,
6836,6837,0.006134419343216457,QQQ,orig,
6843,6844,0.7138687399555383,QQQ,orig,
6944,6945,0.2980429767655631,QQQ,orig,
6946,6947,0.12998431561800833,QQQ,orig,
6950,6951,-0.04463839706943075,QQQ,orig,
6960,6961,0.03608214500666504,QQQ,orig,
6993,6994,0.18263171754786314,QQQ,orig,
6995,6996,0.2581797392646966,QQQ,orig,
7012,7013,0.5364168986017637,QQQ,orig,
7021,7022,0.09125931416533456,QQQ,orig,
7031,7032,0.516571919935118,QQQ,orig,
7039,7040,-0.019568263097689886,QQQ,orig,
7041,7042,0.26438293831355286,QQQ,orig,
7139,7140,0.2840865932395542,QQQ,orig,
7155,7156,0.3495008700430333,QQQ,orig,
7159,7160,0.14016514748896827,QQQ,orig,
7161,7162,-0.08089164604737131,QQQ,orig,
7163,7164,0.18254881844590465,QQQ,orig,
7166,7167,0.0883814059683194,QQQ,orig,
7170,7171,0.0001831698206039012,QQQ,orig,
7230,7231,0.22831935432815514,QQQ,orig,
7234,7235,0.4245876311093278,QQQ,orig,
7237,7238,0.7609945659041896,QQQ,orig,
7244,7245,-0.09587523600349648,QQQ,orig,
7249,7250,0.14076303570704027,QQQ,orig,
7255,7256,0.20851578440577595,QQQ,orig,
7268,7269,0.15418220564738552,QQQ,orig,
7270,7271,-0.062231087346847416,QQQ,orig,
7273,7274,0.2727277677345643,QQQ,orig,
